title,speaker,duration,url
How vampire bats drink your blood without you noticing,Imran Razik,05:39,https://ted.com/talks/imran_razik_how_vampire_bats_drink_your_blood_without_you_noticing
How exactly do inhalers work?,Anna Rothschild,04:19,https://ted.com/talks/anna_rothschild_how_exactly_do_inhalers_work
Your phone\'92s camera isn\'92t as good as you think,Rachel Yang,03:58,https://ted.com/talks/rachel_yang_your_phone_s_camera_isn_t_as_good_as_you_think
"Friendly pizza, UFOs and the joy of AI-generated video",Matan Cohen Grumi,05:09,https://ted.com/talks/matan_cohen_grumi_friendly_pizza_ufos_and_the_joy_of_ai_generated_video
The Greek myth of the Fates\'92 prophecy,Iseult Gillespie,04:34,https://ted.com/talks/iseult_gillespie_the_greek_myth_of_the_fates_prophecy
Is it really that bad to eat cookie dough?,Emma Bryce,04:45,https://ted.com/talks/emma_bryce_is_it_really_that_bad_to_eat_cookie_dough
The myth of Dionysus\'92 drunken revenge,Iseult Gillespie,05:28,https://ted.com/talks/iseult_gillespie_the_myth_of_dionysus_drunken_revenge
"If you had the chance to be immortal, would you take it?",Sarah Stroud and Michael Vazquez,05:19,https://ted.com/talks/sarah_stroud_and_michael_vazquez_if_you_had_the_chance_to_be_immortal_would_you_take_it
The incredible secrets hidden in your immune system,Beck Brachman,04:34,https://ted.com/talks/beck_brachman_the_incredible_secrets_hidden_in_your_immune_system
How we got hooked on credit cards,Nidhi Upadhyaya,04:34,https://ted.com/talks/nidhi_upadhyaya_how_we_got_hooked_on_credit_cards
Can humans be trusted with control over genetics?,Michael Vazquez and Raye Ploeger,04:53,https://ted.com/talks/michael_vazquez_and_raye_ploeger_can_humans_be_trusted_with_control_over_genetics
Why are there so many different kinds of dogs?,Kathleen Morrill Pirovich,04:44,https://ted.com/talks/kathleen_morrill_pirovich_why_are_there_so_many_different_kinds_of_dogs
Can you figure out the savanna mystery?,Cella Wright,05:57,https://ted.com/talks/cella_wright_can_you_figure_out_the_savanna_mystery
"""The Unprompted,"" a poem that AI will never understand",Salome Agbaroji,04:56,https://ted.com/talks/salome_agbaroji_the_unprompted_a_poem_that_ai_will_never_understand
Can saunas make you live longer?,Max G. Levy,04:40,https://ted.com/talks/max_g_levy_can_saunas_make_you_live_longer
"Mood lighting, mating, and murder: The scintillating lives of fireflies",Emily A. Geest,04:45,https://ted.com/talks/emily_a_geest_mood_lighting_mating_and_murder_the_scintillating_lives_of_fireflies
Your zip code shouldn\'92t determine your lifespan,Dion Dawson,05:27,https://ted.com/talks/dion_dawson_your_zip_code_shouldn_t_determine_your_lifespan
How smart are crows?,Katharina Brecht,04:29,https://ted.com/talks/katharina_brecht_how_smart_are_crows
The ginormous collision that tilted our planet,Elise Cutts,04:35,https://ted.com/talks/elise_cutts_the_ginormous_collision_that_tilted_our_planet
What should you do if you accidentally cut off your finger?,Jason Hoellwarth,05:30,https://ted.com/talks/jason_hoellwarth_what_should_you_do_if_you_accidentally_cut_off_your_finger
The Greek tragedy of Oedipus' daughter,Stephen Esposito,05:21,https://ted.com/talks/stephen_esposito_the_greek_tragedy_of_oedipus_daughter
What your poop can tell you about your health,Hannibal Person,05:39,https://ted.com/talks/hannibal_person_what_your_poop_can_tell_you_about_your_health
Are there really dead wasps in figs?,Carolyn Beans,04:59,https://ted.com/talks/carolyn_beans_are_there_really_dead_wasps_in_figs
How close can we actually get to the Sun?,TED-Ed,05:27,https://ted.com/talks/ted_ed_how_close_can_we_actually_get_to_the_sun
The physics behind Einstein\'92s most famous equation,Lindsay DeMarchi and Fabio Pacucci,05:05,https://ted.com/talks/lindsay_demarchi_and_fabio_pacucci_the_physics_behind_einstein_s_most_famous_equation
