,speaker,video_ids,videos,views,topics,average_views
2306,Juan Enriquez,"[1730, 71407, 50657, 33924, 26256, 2632, 2473, 1467, 193, 463, 80]",11,21972108,"['culture, technology, social media', 'science, technology, invention, DNA, biotech, genetics, nature, biology, TEDx, medical research, bioethics, synthetic biology, CRISPR', 'technology, future, history, humanity, ethics', 'environment, global issues, science, sustainability, DNA, genetics, nature, evolution, biology, future, history, potential, brain, biodiversity, humanity, conservation', 'science, technology, business, economics, robots, biology', 'science, technology, engineering, invention, DNA, biotech, genetics, collaboration, innovation, nature, evolution, biology, future, aging, brain, humanity, bacteria, society, chemistry, neuroscience, bioethics, human body', 'culture, science, technology, DNA, biotech, genetics, innovation, evolution, biology, future, history, astronomy, brain, biodiversity, Planets, TEDx, Autism spectrum disorder, bioethics, human body', 'social change, history, community, United States, humanity, society, immigration, policy, refugees', 'science, technology, business, biotech, energy, biodiversity', 'TED en Español', 'culture, science, technology, invention, business, DNA, biotech, genetics']",1997464.36
85,Al Gore,"[84188, 92787, 66654, 535, 83223, 1, 155791, 115855, 64693, 2441, 243]",11,20931826,"['climate change, global issues, science, activism', 'climate change, science, weather, Countdown', 'climate change, culture, environment, global issues, science, sustainability, technology, transportation, renewable energy', 'climate change, environment, global issues, science, sustainability, transportation, energy, pollution, solar energy, agriculture, manufacturing, Countdown', 'climate change, environment, sustainability, business, pollution, Countdown, fossil fuels', 'climate change, environment, science, sustainability, technology, social change, energy, solar energy, data, Countdown, renewable energy, fossil fuels', 'climate change, environment, social change, activism, leadership, Countdown', 'climate change, environment, global issues, science, sustainability, technology, business, social change, future, energy, pollution, finance, policy, Countdown, fossil fuels', 'climate change, science, energy, weather, electricity, renewable energy', 'climate change, environment, science, sustainability, technology, energy, ecology, natural resources, renewable energy, public speaking', 'climate change, science, innovation, leadership, energy, Countdown, renewable energy']",1902893.27
1718,Hans Rosling,"[1101, 912, 540, 1455, 974, 695, 620, 140, 92]",9,39570870,"['culture, global issues, poverty, demo, data, public speaking', 'health, Africa, statistics, TEDx, data, international development, equality', 'global issues, economics, health, Africa, statistics, poverty, Asia, visualizations, international development, equality', 'global issues, economics, health, Africa, statistics, demo, Asia, visualizations, math, international development', 'culture, economics, women, data, electricity', 'global issues, science, technology, Africa, statistics, medicine, Asia, visualizations, math, data, international development, public speaking', 'technology, economics, health, statistics, Asia, visualizations, india', 'global issues, religion, TEDx, data, public speaking', 'global issues, disease, Africa, statistics, AIDS, visualizations, public speaking']",4396763.33
798,Chris Anderson,"[121113, 211, 72, 148297, 123235, 54715, 8420, 3633, 955]",9,10871506,"['climate change, environment, science, sustainability, social change, activism, leadership, society, Countdown', 'technology, invention, entrepreneur, computers, software, collaboration, interview, innovation, cancer, creativity, future, work, motivation, potential, AI, society, data, algorithm, driverless cars', 'culture, global issues, technology, business, philosophy, community, philanthropy', 'social change, philanthropy, personal growth, humanity, compassion, empathy, social media, Internet, Ideas', 'science, technology, computers, innovation, future, AI, machine learning', 'politics, technology, media, AI, law, democracy, social media, Internet, government, data, journalism', 'culture, technology, business, economics, entertainment, marketing', 'environment, science, sustainability, future, space, humanity, deextinction', 'global issues, science, technology, business, education, innovation, Internet']",1207945.11
1897,Jacqueline Novogratz,"[494, 157429, 65394, 1076, 644, 91, 155908, 157]",8,9929826,"['culture, global issues, economics, women in business, investing', 'climate change, global issues, sustainability, technology, innovation, social change, Africa, philanthropy, energy, solar energy, electricity, Countdown, renewable energy, investing', 'social change, activism, poverty, society, equality', 'culture, technology, business, entrepreneur, Africa, society, finance', 'global issues, invention, business, economics, innovation, Africa, philanthropy, poverty, women, finance, international development, equality', 'culture, business, entrepreneur, philanthropy, poverty, finance, international development, investing', 'global issues, business, philanthropy, medicine, poverty, women, women in business, finance, international development, investing', 'culture, global issues, business, activism, poverty, work, women']",1241228.25
2878,Marco Tempest,"[51449, 1482, 1262, 1211, 1991, 1602, 1405]",7,17228297,"['technology, entertainment, magic', 'technology, entertainment, robots, magic', 'technology, design, entertainment, art, illusion, magic', 'technology, illusion, magic', 'science, technology, entertainment, robots, illusion, magic', 'science, technology, design, industrial design, invention, art, storytelling, visualizations, Internet', 'technology, design, entertainment, music, art, illusion, magic']",2461185.29
561,Bill Gates,"[2225, 1739, 1087, 91428, 64835, 767, 451]",7,75364998,"['global issues, science, technology, disease, health, health care, future, history, humanity, pandemic, coronavirus', 'education, aging, money, youth', 'global issues, science, technology, invention, business, energy, electricity', 'science, technology, business, education, health, philanthropy, insects, illness', 'culture, global issues, education, teaching', 'science, disease, health, health care, public health, Vaccines, virus, medical research, pandemic, coronavirus', 'global issues, disease, war, medicine, natural disaster, pandemic, ebola']",10766428.29
3098,Michael Green,"[110689, 77478, 63852, 26946, 2348, 2134, 1785]",7,9425975,"['global issues, economics, health, future, statistics, poverty, society, data, policy, international development, goals, equality', 'design, history, product design, identity, TEDx', 'climate change, environment, sustainability, design, architecture, innovation, resources, natural resources', 'design, engineering, architecture', 'global issues, economics, statistics, policy', 'design, community, sports, society, identity', 'global issues, economics, future, statistics, policy, international development, goals']",1346567.86
4256,Steven Pinker,"[158347, 1948, 164, 15274, 354, 163]",6,14734193,"['culture, science, psychology, philosophy, language, brain, books, kids', 'culture, psychology, philosophy, brain, consciousness', 'climate change, politics, history, statistics, war, happiness, pollution, violence, humanity, society, democracy, data', 'culture, psychology, language', 'economics, collaboration, innovation, social change, psychology, history, communication, activism, language, decision-making, society', 'culture, global issues, business, media, war, sociology, violence']",2455698.83
3758,Rives,"[383, 108, 26, 1490, 148, 2000]",6,12750113,"['science, entertainment, nature, future, insects, humor, TEDx, Internet', 'entertainment, storytelling, spoken word, humor, Internet', 'entertainment, performance, memory, storytelling, poetry, spoken word', 'culture, entertainment, performance, love, philosophy, poetry', 'design, entertainment, media, love, storytelling, poetry, humor', 'entertainment, poetry, spoken word']",2125018.83
