speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
Juan Enriquez,11,576.07,0.0,0,0,1,6.866120546394923
Al Gore,11,1301.12,27.27272727272727,3,1,1,20.211947689508595
Hans Rosling,9,709.55,11.11111111111111,1,1,1,11.827747739087576
Chris Anderson,9,959.35,0.0,0,0,0,1.7201515223834678
Jacqueline Novogratz,8,923.83,12.5,1,1,1,12.698157100927823
Marco Tempest,7,533.69,0.0,0,0,1,6.790114935620051
Bill Gates,7,2876.97,42.857142857142854,3,1,1,28.49269211407072
Michael Green,7,549.63,0.0,0,0,0,0.9853469247741985
Steven Pinker,6,1286.91,16.666666666666664,1,1,1,14.80765489691627
Rives,6,357.56,0.0,0,0,1,6.4742379128315095
Julian Treasure,5,3907.08,40.0,2,1,0,22.673427901980993
Barry Schwartz,5,1027.37,20.0,1,1,0,9.675503542295472
Lawrence Lessig,5,476.53,0.0,0,0,1,6.687602412923218
Paul Rucker,5,192.78,0.0,0,0,0,0.3453610303661451
Stewart Brand,5,254.23,0.0,0,0,1,6.28892267542312
Dan Ariely,5,959.94,0.0,0,0,1,7.554564949607532
Eve Ensler,5,437.48,0.0,0,0,1,6.617568927770817
Clay Shirky,5,402.54,0.0,0,0,1,6.554906444512818
Jane McGonigal,4,1218.16,0.0,0,0,1,8.017664732861133
Adam Grant,4,3341.73,75.0,3,1,1,40.57624953021711
Jonathan Haidt,4,677.45,0.0,0,0,1,7.047938593123488
Jonathan Drori,4,155.13,0.0,0,0,0,0.2778383487787464
Bjarke Ingels,4,314.61,0.0,0,0,1,6.397210046319459
Jane Fonda,4,1030.62,0.0,0,0,1,7.681324661017818
Enric Sala,4,399.24,0.0,0,0,1,6.548988121823881
David Brooks,4,891.54,25.0,1,1,0,11.181908384416015
John Doerr,4,1423.19,25.0,1,1,1,17.968741341090382
Johan Rockström,4,1670.49,25.0,1,1,1,18.41225685653696
Louie Schwartzberg,4,971.08,25.0,1,1,1,17.15791319839506
Malcolm Gladwell,4,1874.28,25.0,1,1,1,18.777740184045488
Dan Dennett,4,568.72,0.0,0,0,1,6.852938827678658
Margaret Heffernan,4,1118.91,0.0,0,0,1,7.839666694413608
Halla Tómasdóttir,4,695.04,0.0,0,0,1,7.0794850464866315
Ngozi Okonjo-Iweala,4,383.45,0.0,0,0,1,6.520669844472886
Nicholas Negroponte,4,208.05,0.0,0,0,1,6.206102026400383
Kevin Kelly,4,697.95,0.0,0,0,0,1.2513486281750743
Pico Iyer,4,857.44,0.0,0,0,1,7.370738260026964
Ray Kurzweil,4,830.3,0.0,0,0,1,7.322064539488266
Daniel Kraft,4,481.61,0.0,0,0,1,6.696713043001943
Robert Full,4,193.44,0.0,0,0,0,0.34654469490393214
Sarah Jones,4,574.64,0.0,0,0,0,1.030200637031857
Sarah Kay,4,1316.37,25.0,1,1,1,17.777167029080665
Stefan Sagmeister,4,385.79,0.0,0,0,1,6.524866473288676
Steven Johnson,4,661.96,0.0,0,0,0,1.1868030422433218
Danny Hillis,4,254.58,0.0,0,0,1,6.289550376314371
Latif Nasser,4,523.41,0.0,0,0,1,6.771678463728457
Tom Wujec,4,744.12,0.0,0,0,1,7.1675066457511605
Yuval Noah Harari,4,2566.15,25.0,1,1,1,20.018561371558725
Derek Sivers,3,1407.8,0.0,0,0,0,2.5244157071874236
Jonathan Foley,3,751.08,0.0,0,0,0,1.3466336234669334
Bruce Feiler,3,725.84,0.0,0,0,1,7.134722724916695
Carole Cadwalladr,3,4365.43,33.33333333333333,1,1,1,26.16212376473268
Esther Perel,3,4087.16,66.66666666666666,2,1,1,38.16311276513284
Beck Brachman,3,803.53,0.0,0,0,0,1.4406990855986481
David Deutsch,3,562.94,0.0,0,0,1,6.842572795817432
Andrew Solomon,3,2070.68,33.33333333333333,1,1,1,22.04664770702529
Emily Nagoski,3,1167.72,0.0,0,0,1,7.927204067276317
Guy Winch,3,3095.16,66.66666666666666,2,1,0,30.550673793351997
Andrew Youn,3,181.91,0.0,0,0,0,0.32586643411501565
Helen Fisher,3,1248.51,0.0,0,0,0,2.2387400644236326
David Pogue,3,514.33,0.0,0,0,1,6.7553941091782965
Jarrett J. Krosoczka,3,608.87,0.0,0,0,1,6.9249450870607046
Jane Goodall,3,551.1,0.0,0,0,1,6.82133857138198
