title,speaker,duration,url
How to raise confident kids in an age of anxiety,Lenore Skenazy,41:29,https://ted.com/talks/lenore_skenazy_how_to_raise_confident_kids_in_an_age_of_anxiety
Inside the Gaza peace plan,Ian Bremmer,38:08,https://ted.com/talks/ian_bremmer_inside_the_gaza_peace_plan
Beyond the Talk: Deja Foxx on finding alternative online spaces,Deja Foxx,27:47,https://ted.com/talks/deja_foxx_beyond_the_talk_deja_foxx_on_finding_alternative_online_spaces
Can AI make us more human? A social psychologist and a business leader answer,Heidi Grant and Barry Cooper,25:28,https://ted.com/talks/heidi_grant_and_barry_cooper_can_ai_make_us_more_human_a_social_psychologist_and_a_business_leader_answer
How do you turn hope into action? A doctor and a public health expert answer,David Fajgenbaum and Celina de Sola,29:32,https://ted.com/talks/david_fajgenbaum_and_celina_de_sola_how_do_you_turn_hope_into_action_a_doctor_and_a_public_health_expert_answer
How do you rethink how the world works? An entrepreneur and an engineer answer,Yancey Strickler and Jenny Du,24:29,https://ted.com/talks/yancey_strickler_and_jenny_du_how_do_you_rethink_how_the_world_works_an_entrepreneur_and_an_engineer_answer
Inside WWE's storytelling machine,"Paul ""Triple H"" Levesque, Patrick Talty",32:34,https://ted.com/talks/paul_triple_h_levesque_patrick_talty_inside_wwe_s_storytelling_machine
The link between evolution and language,Richard Dawkins,21:16,https://ted.com/talks/richard_dawkins_the_link_between_evolution_and_language
How will new tech shape your life? A roboticist and a political strategist answer,Bradley Tusk and Ali Kashani,24:30,https://ted.com/talks/bradley_tusk_and_ali_kashani_how_will_new_tech_shape_your_life_a_roboticist_and_a_political_strategist_answer
What will the future of art look like? A visual effects artist and a curator answer,Rob Bredow and Nora Atkinson,24:48,https://ted.com/talks/rob_bredow_and_nora_atkinson_what_will_the_future_of_art_look_like_a_visual_effects_artist_and_a_curator_answer
"TED Talks Daily Book Club: Intentional Ambition: Redefining Your Work for Greater Joy, Freedom, and Fulfillment",Rha Goddess,55:05,https://ted.com/talks/rha_goddess_ted_talks_daily_book_club_intentional_ambition_redefining_your_work_for_greater_joy_freedom_and_fulfillment
Beyond the Talk: Salome Agbaroji and Samora Pinderhughes in conversation with Elise Hu,Salome Agbaroji and Samora Pinderhughes,45:20,https://ted.com/talks/salome_agbaroji_and_samora_pinderhughes_beyond_the_talk_salome_agbaroji_and_samora_pinderhughes_in_conversation_with_elise_hu
300 years of classical music in 18 minutes,Joshua Bell,18:07,https://ted.com/talks/joshua_bell_300_years_of_classical_music_in_18_minutes
The missing piece in the story of migration,Sonia Shah and Zeke Hernandez,58:07,https://ted.com/talks/sonia_shah_and_zeke_hernandez_the_missing_piece_in_the_story_of_migration
Why building new proteins from scratch is our new superpower,David Baker,30:37,https://ted.com/talks/david_baker_why_building_new_proteins_from_scratch_is_our_new_superpower
A story of moral imagination and bold entrepreneurship,Sitoyo Lopokoiyit and Jacqueline Novogratz,18:17,https://ted.com/talks/sitoyo_lopokoiyit_and_jacqueline_novogratz_a_story_of_moral_imagination_and_bold_entrepreneurship
Beyond the Talk: Hany Farid in conversation with Elise Hu,Hany Farid,19:52,https://ted.com/talks/hany_farid_beyond_the_talk_hany_farid_in_conversation_with_elise_hu
"Why climate action is unstoppable \'97 and ""climate realism"" is a myth",Al Gore,24:02,https://ted.com/talks/al_gore_why_climate_action_is_unstoppable_and_climate_realism_is_a_myth
TED Talks Daily Book Club: A Little Daylight Left,Sarah Kay,52:04,https://ted.com/talks/sarah_kay_ted_talks_daily_book_club_a_little_daylight_left
The US bombed Iran. Now what?,Ian Bremmer,46:19,https://ted.com/talks/ian_bremmer_the_us_bombed_iran_now_what
How do you prepare for jobs that don't exist yet? A work expert and a YouTuber answer,Jon Youshaei and Michelle Weise,26:51,https://ted.com/talks/jon_youshaei_and_michelle_weise_how_do_you_prepare_for_jobs_that_don_t_exist_yet_a_work_expert_and_a_youtuber_answer
The science and art of uncertainty,"Amma Y. Ghartey-Tagoe Kootin, Shohini Ghose and Damon Davis",29:33,https://ted.com/talks/amma_y_ghartey_tagoe_kootin_shohini_ghose_and_damon_davis_the_science_and_art_of_uncertainty
How do you stop caring what others think? A filmmaker and a therapist answer,Baron Ryan and Stephanie R. Yates-Anyabwile,25:58,https://ted.com/talks/baron_ryan_and_stephanie_r_yates_anyabwile_how_do_you_stop_caring_what_others_think_a_filmmaker_and_a_therapist_answer
How can creativity help us heal? A doctor and a cartoonist answer,Amy Baxter and Navied Mahdavian,22:38,https://ted.com/talks/amy_baxter_and_navied_mahdavian_how_can_creativity_help_us_heal_a_doctor_and_a_cartoonist_answer
Why Ukraine's drone attack on Russia changes war forever,Ian Bremmer,44:56,https://ted.com/talks/ian_bremmer_why_ukraine_s_drone_attack_on_russia_changes_war_forever
What is true confidence? A photographer and a brand builder answer,David Suh and Molly Graham,27:07,https://ted.com/talks/david_suh_and_molly_graham_what_is_true_confidence_a_photographer_and_a_brand_builder_answer
Beyond the Talk: Ariel Ekblaw in conversation with Elise Hu,Ariel Ekblaw,18:52,https://ted.com/talks/ariel_ekblaw_beyond_the_talk_ariel_ekblaw_in_conversation_with_elise_hu
The AI revolution is underhyped,Eric Schmidt,25:34,https://ted.com/talks/eric_schmidt_the_ai_revolution_is_underhyped
How I make vegan food sexy,Pinky Cole,18:14,https://ted.com/talks/pinky_cole_how_i_make_vegan_food_sexy
Beyond the Talk: Tristan Harris in conversation with Elise Hu,Tristan Harris,24:43,https://ted.com/talks/tristan_harris_beyond_the_talk_tristan_harris_in_conversation_with_elise_hu
Where in the world is Trump taking us?,Ian Bremmer,54:18,https://ted.com/talks/ian_bremmer_where_in_the_world_is_trump_taking_us
Feeling stressed? The answer isn\'92t to \'93just relax\'94,Aditi Nerurkar,57:17,https://ted.com/talks/aditi_nerurkar_feeling_stressed_the_answer_isn_t_to_just_relax
Can big tech and privacy coexist?,Carole Cadwalladr and Chris Anderson,36:18,https://ted.com/talks/carole_cadwalladr_and_chris_anderson_can_big_tech_and_privacy_coexist
"OpenAI's Sam Altman talks ChatGPT, AI agents and superintelligence \'97 live at TED2025",Sam Altman,47:26,https://ted.com/talks/sam_altman_openai_s_sam_altman_talks_chatgpt_ai_agents_and_superintelligence_live_at_ted2025
My Big Idea (Ep. 2): Can a boxing gym transform a community?,Percy Tussamba,19:42,https://ted.com/talks/percy_tussamba_my_big_idea_ep_2_can_a_boxing_gym_transform_a_community
TED Talks Daily Book Club: Talk to Me,Rich Benjamin,43:20,https://ted.com/talks/rich_benjamin_ted_talks_daily_book_club_talk_to_me
An ethicist's guide to living a good life,Ira Bedzow,25:05,https://ted.com/talks/ira_bedzow_an_ethicist_s_guide_to_living_a_good_life
A guide to self-love for skeptics,Dan Harris,57:14,https://ted.com/talks/dan_harris_a_guide_to_self_love_for_skeptics
How to mix business and family,Fixable,32:18,https://ted.com/talks/fixable_how_to_mix_business_and_family
"Trump, Europe, Ukraine and the uncertain world order",Ian Bremmer,59:16,https://ted.com/talks/ian_bremmer_trump_europe_ukraine_and_the_uncertain_world_order
How little experiments can lead to big success,Emmanuel Acho and David Epstein,52:21,https://ted.com/talks/emmanuel_acho_and_david_epstein_how_little_experiments_can_lead_to_big_success
A bold new chapter for TED,Chris Anderson,57:05,https://ted.com/talks/chris_anderson_a_bold_new_chapter_for_ted
A Healthier You: A cardiologist's guide to protecting your heart,TED Health,23:12,https://ted.com/talks/ted_health_a_healthier_you_a_cardiologist_s_guide_to_protecting_your_heart
TED Explores: Food for the Future,TED Countdown,23:08,https://ted.com/talks/ted_countdown_ted_explores_food_for_the_future
The biggest global risks for 2025,Ian Bremmer,43:58,https://ted.com/talks/clay_shirky_the_potential_us_tiktok_ban_and_what_s_at_stake
Colin Greenwood,Design Matters with Debbie Millman,54:47,https://ted.com/talks/design_matters_with_debbie_millman_colin_greenwood
Sam Altman on the future of AI and humanity,ReThinking with Adam Grant,39:42,https://ted.com/talks/rethinking_with_adam_grant_sam_altman_on_the_future_of_ai_and_humanity
How to protect your emotional health during the holidays,Guy Winch,55:50,https://ted.com/talks/guy_winch_how_to_protect_your_emotional_health_during_the_holidays
Why you should start thinking about death (w/ Alua Arthur),How to Be a Better Human,34:38,https://ted.com/talks/how_to_be_a_better_human_why_you_should_start_thinking_about_death_w_alua_arthur
How to be productive without burnout with Cal Newport,ReThinking with Adam Grant,41:29,https://ted.com/talks/rethinking_with_adam_grant_how_to_be_productive_without_burnout_with_cal_newport
What's our relationship to AI? It's complicated,"AC Coppens, Kasley Killam and Apolin\'e1rio Passos",38:51,https://ted.com/talks/ac_coppens_kasley_killam_and_apolinario_passos_what_s_our_relationship_to_ai_it_s_complicated
Humanity\'92s first AI election with WIRED's Vittoria Elliott,The TED AI Show,38:32,https://ted.com/talks/the_ted_ai_show_humanity_s_first_ai_election_with_wired_s_vittoria_elliott
Why you should make a spectacle out of life (w/ Lear deBessonet),How to Be a Better Human,36:33,https://ted.com/talks/how_to_be_a_better_human_why_you_should_make_a_spectacle_out_of_life_w_lear_debessonet
Friction 101: How to make the right things easier and wrong things harder (w/ Bob Sutton and Huggy Rao),Fixable,36:10,https://ted.com/talks/fixable_friction_101_how_to_make_the_right_things_easier_and_wrong_things_harder_w_bob_sutton_and_huggy_rao
Can I speed up my metabolism?,Body Stuff with Jen Gunter,30:45,https://ted.com/talks/body_stuff_with_jen_gunter_can_i_speed_up_my_metabolism
How many friends do I need?,Am I Normal? with Mona Chalabi,22:24,https://ted.com/talks/am_i_normal_with_mona_chalabi_how_many_friends_do_i_need
Why do you love your favorite songs?,Scarlet Keys,19:07,https://ted.com/talks/scarlet_keys_why_do_you_love_your_favorite_songs
Yuval Noah Harari on what history teaches us about justice and peace,ReThinking with Adam Grant,41:11,https://ted.com/talks/rethinking_with_adam_grant_yuval_noah_harari_on_what_history_teaches_us_about_justice_and_peace
Can Europe win the age of AI?,Thomas Dohmke,19:19,https://ted.com/talks/thomas_dohmke_can_europe_win_the_age_of_ai
Unsolicited Advice: Can the Democratic Party move fast and fix things?,Fixable,30:23,https://ted.com/talks/fixable_unsolicited_advice_can_the_democratic_party_move_fast_and_fix_things
Trump\'92s 2024 election win \'97 and what\'92s next,Ian Bremmer,44:58,https://ted.com/talks/ian_bremmer_trump_s_2024_election_win_and_what_s_next
The meaning of embodiment w/ Prentis Hemphill,How to Be a Better Human,37:35,https://ted.com/talks/how_to_be_a_better_human_the_meaning_of_embodiment_w_prentis_hemphill
How to defend democracy \'97 and fight autocracy,Leopoldo Lopez,18:25,https://ted.com/talks/leopoldo_lopez_how_to_defend_democracy_and_fight_autocracy
How AI could hack democracy,Lawrence Lessig,19:11,https://ted.com/talks/lawrence_lessig_how_ai_could_hack_democracy
Why creativity thrives on challenges,Jon M. Chu,56:39,https://ted.com/talks/jon_m_chu_why_creativity_thrives_on_challenges
How to be an adult - and how to raise one (w/ Julie Lythcott-Haims),Chris Duffy,34:27,https://ted.com/talks/chris_duffy_how_to_be_an_adult_and_how_to_raise_one_w_julie_lythcott_haims
Harris vs. Trump \'97 and what\'92s at stake for the world,Ian Bremmer,54:04,https://ted.com/talks/ian_bremmer_harris_vs_trump_and_what_s_at_stake_for_the_world
The secret to success isn\'92t power \'96 it\'92s status,WorkLife with Adam Grant,32:45,https://ted.com/talks/worklife_with_adam_grant_the_secret_to_success_isn_t_power_it_s_status
Unsolicited Advice: Why is Amazon dragging its employees back into the office?,Anne Morriss,30:39,https://ted.com/talks/anne_morriss_unsolicited_advice_why_is_amazon_dragging_its_employees_back_into_the_office
How to come together in a meaningful way,Priya Parker,35:04,https://ted.com/talks/priya_parker_how_to_come_together_in_a_meaningful_way
What makes a good life? A neuroscientist and a global financial CEO answer,Annabel Spring and Wendy Suzuki,29:31,https://ted.com/talks/annabel_spring_and_wendy_suzuki_what_makes_a_good_life_a_neuroscientist_and_a_global_financial_ceo_answer
The UN is speaking up about AI \'97 here's what they're saying,Ian Bremmer and Bilawal Sidhu,51:41,https://ted.com/talks/ian_bremmer_and_bilawal_sidhu_the_un_is_speaking_up_about_ai_here_s_what_they_re_saying
Break the bad news bubble (Part 1),Angus Hervey,20:23,https://ted.com/talks/angus_hervey_break_the_bad_news_bubble_part_1
What\'92s the future of food? A chef and a cardiologist answer,Jon Kung and Uma Valeti,23:34,https://ted.com/talks/jon_kung_and_uma_valeti_what_s_the_future_of_food_a_chef_and_a_cardiologist_answer
Are smartphones ruining childhood?,Jonathan Haidt,38:11,https://ted.com/talks/jonathan_haidt_are_smartphones_ruining_childhood
